"Issue Type","Summary","Description","Parent","Labels","Story Points"
"Task","Add per-participant reconnect grace timers","Tiles remain with reconnecting overlay during grace window before definitive removal.","Add Reconnection Grace and UX Escalation","classroom,reconnect,flutter","3"
"Task","Implement reconnect message escalation by duration","0-3s silent retry, 3-10s reconnecting banner, >10s warning guidance.","Add Reconnection Grace and UX Escalation","classroom,ux,network","2"
"Story","Implement Stable Session State UX","Expose clear joining/degraded/reconnecting/resumed/ended states without flicker.","Classroom UX and Teaching Experience","classroom,ux,state","5"
"Task","Add state banners/chips with minimum display duration","Users always see consistent session state and no visual thrashing under short events.","Implement Stable Session State UX","classroom,ui,flutter","3"
"Task","Verify status bar contrast on key onboarding/session screens","Status bar icons and text remain visible across light and dark app bars.","Implement Stable Session State UX","classroom,ui,ios","2"
"Story","Deliver Tutor-First Layout Manager","Build spotlight + grid classroom layout with stable transitions.","Classroom UX and Teaching Experience","classroom,layout,flutter","5"
"Task","Implement stage/grid layout manager","Layout remains stable as participants join/leave and orientation changes.","Deliver Tutor-First Layout Manager","classroom,layout,ui","3"
"Task","Stabilize local preview and PiP during transitions","Local preview and PiP do not disappear or jump on layout updates.","Deliver Tutor-First Layout Manager","classroom,pip,video","2"
"Story","Upgrade Screenshare Reliability","Ensure screenshare ownership, transitions, and fallback behavior are consistent.","Classroom UX and Teaching Experience","classroom,screenshare,agora","5"
"Task","Model screenshare ownership in orchestrator","Only one active share owner at a time; ownership transitions propagate to all clients.","Upgrade Screenshare Reliability","classroom,screenshare,state","3"
"Task","Add degraded share fallback and recovery behavior","When share stream degrades, UI communicates fallback and recovers to camera stage cleanly.","Upgrade Screenshare Reliability","classroom,screenshare,ux","2"
"Story","Complete Participant Authorization in APIs","Support session_participants membership in token and role resolution endpoints.","Data Authorization and API Enablement","classroom,auth,nextjs,supabase","5"
"Task","Apply/verify session_participants migration in all envs","Migration is deployed and verified in local/staging/prod with integrity checks.","Complete Participant Authorization in APIs","classroom,supabase,migration","2"
"Task","Expand token authorization matrix","Legacy participants and session_participants members can join; unauthorized users receive 403.","Complete Participant Authorization in APIs","classroom,nextjs,api","3"
"Story","Build Enrollment Pipeline for Classroom Participants","Auto-create participant rows for multi-learner sessions using user ids and roles.","Data Authorization and API Enablement","classroom,enrollment,backend","5"
"Task","Create enrollment writer and idempotency guard","Multi-learner bookings reliably create session participant rows without duplicates.","Build Enrollment Pipeline for Classroom Participants","classroom,backend,supabase","3"
"Task","Add backfill script for existing eligible sessions","Historical eligible sessions are populated safely with participant records.","Build Enrollment Pipeline for Classroom Participants","classroom,backfill,data","2"
"Story","Add Session QoE Telemetry Pipeline","Capture tier changes, reconnect outcomes, stream switches, and freeze events per session.","QoE Observability and Operational Readiness","classroom,qoe,telemetry","5"
"Task","Create session_qoe_events table and indexes","QoE schema is deployed with query-ready indexes and retention strategy.","Add Session QoE Telemetry Pipeline","classroom,supabase,analytics","2"
"Task","Emit orchestrator QoE events to backend","All core QoE events are persisted and traceable by session id.","Add Session QoE Telemetry Pipeline","classroom,telemetry,flutter","3"
"Story","Establish QA Reliability Gate","Create reproducible scenario suite and release thresholds for classroom quality.","QoE Observability and Operational Readiness","classroom,qa,reliability","5"
"Task","Build reliability matrix for 1:1, 1:3, 1:5 and degraded network","Suite defines pass/fail outcomes and captures regression evidence.","Establish QA Reliability Gate","classroom,qa,test-plan","3"
"Task","Define release gate metrics and triage workflow","Release blocked if reconnect/freeze thresholds fail; owners and response paths documented.","Establish QA Reliability Gate","classroom,qa,ops","2"
